Team Lead Roll Number,Team Member 2 Roll Number,Team Member 3 Roll Number,Team Member 4 Roll Number
23A81A0606,23A81A0512,23A81A0622,24A85A0501
23A81A61C1,23A81A61C0,23A81A4303,23A81A6113
24A85A0215,23A81A0250,23A81A0251,23A81A0273
22A81A0630,22A81A0623,22A81A0622,22A81A0649
22A81A05F4,22A81A05J4 ,22A81A05E1 ,22A81A05F3
22A81A0608,22A81A0654,23A85A0606,22A81A0620
23A81A04H5 ,23A81A04H3,23A81A04E2,24A85A0415
23A81A0243,23A81A0209,23A81A0233,23A81A0216
22A81A05M0,22A81A05L3,22A81A05P1,22A81A05P3
24A85A0607,23A81A0634,23A81A0613,24A85A0603
23A81A0246 ,23A81A0239,23A81A0244,23A81A0271
23A85A6109,22A81A6192,23A85A6111,22A81A05Q2
23A85A0510,23A85A0509,22A81A05A2,23A85A0512
22A81A0632 ,22A81A0664,22A81A1449,22A81A0641
22A81A05F7,22A81A05H8,22A81A05H1,22A81A05G1
22A81A0631,22A81A0624,22A81A0623,22A81A0650
22A81A6186,22A81A6187,22A81A0619,22A81A05G6
23A81A05C4,23A81A05C2,23A81A0570,23A81A05D6
23A81A05D3,23A81A05E3,23A81A05I8,23A81A05E4
22A81A05B2,22A81A05B4,22A81A0591,22A81A0597
22A81A0572,22A81A0585,22A81A0581,22A81A0590
22A81A05Q4,22A81A05K4,22A81A05P9,22A81A05O1
22A81A4375,22A81A43C2,22A81A4374,22A81A4377
23A81A05L5,23A81A05P7 ,23A81A05N1,23A81A05K2
22A81A05M6,22A81A05N9,22A81A05N8,22A81A05L4
23A81A61A6,23A81A61C2,23A81A6178,24A85A6115
22A81A05O8,22A81A05K6,22A81A05M1,22A81A05J9
22A81A4359,22A81A4342,22A81A4335,22A81A4305
22A81A05Q0,22A81A05K1,22A81A05K0,22A81A05I7
